filename,width,height,class,xmin,ymin,xmax,ymax
258.png,1920,1080,b_ball,442,544,800,930
258.png,1920,1080,referee,918,21,1648,1080
258.png,1920,1080,face,1047,21,1356,416
259.png,2000,1438,face,537,577,741,759
259.png,2000,1438,face,1164,365,1305,597
259.png,2000,1438,b_ball,1456,52,1713,300
259.png,2000,1438,player,1005,343,1590,1438
259.png,2000,1438,player,790,672,1056,1438
260.png,1290,1600,basket,582,360,677,463
261.png,910,1137,player,72,311,240,729
261.png,910,1137,b_ball,183,164,250,223
261.png,910,1137,basket,430,285,514,391
262.png,612,408,b_ball,293,87,318,111
262.png,612,408,player,432,145,484,268
262.png,612,408,player,294,114,333,258
262.png,612,408,player,328,137,367,281
262.png,612,408,player,373,146,412,290
263.png,800,1065,basket,314,162,434,304
264.png,1920,2108,face,904,461,1261,927
264.png,1920,2108,player,479,124,1647,2108
265.png,1024,785,face,402,15,516,149
265.png,1024,785,face,527,97,642,255
265.png,1024,785,player,159,18,503,736
265.png,1024,785,player,513,25,857,743
265.png,1024,785,b_ball,807,411,988,569
266.png,1000,667,face,227,143,350,245
266.png,1000,667,b_ball,520,253,647,400
266.png,1000,667,basket,471,176,850,598
267.png,1300,899,b_ball,279,55,1009,798
268.png,1560,1040,b_ball,152,196,454,500
268.png,1560,1040,face,499,150,801,419
268.png,1560,1040,face,965,85,1197,372
268.png,1560,1040,player,898,82,1537,1040
268.png,1560,1040,player,248,68,913,1037
269.png,980,643,face,485,221,591,352
269.png,980,643,b_ball,446,19,599,166
269.png,980,643,player,356,90,704,635
270.png,2000,1125,player,449,341,608,1004
270.png,2000,1125,player,742,340,918,1000
270.png,2000,1125,player,930,326,1106,986
270.png,2000,1125,player,1244,299,1420,959
270.png,2000,1125,player,1425,302,1601,962
270.png,2000,1125,player,1623,279,1799,939
270.png,2000,1125,player,326,369,443,1003
270.png,2000,1125,player,220,362,337,996
273.png,300,225,face,109,55,130,81
273.png,300,225,b_ball,62,51,88,87
273.png,300,225,basket,54,8,121,56
273.png,300,225,face,226,111,261,143
273.png,300,225,player,87,43,161,219
273.png,300,225,player,212,97,260,225
274.png,2546,3000,b_ball,271,1652,755,2119
274.png,2546,3000,face,1178,313,1578,871
274.png,2546,3000,player,774,126,2320,2848
275.png,399,600,b_ball,182,62,244,132
275.png,399,600,face,245,166,284,217
275.png,399,600,player,193,111,325,564
275.png,399,600,player,83,21,181,545
276.png,480,360,b_ball,96,217,161,279
276.png,480,360,player,45,67,207,321
276.png,480,360,player,268,46,430,300
277.png,612,408,b_ball,88,162,268,347
277.png,612,408,basket,281,145,320,180
278.png,2000,1334,b_ball,879,277,1139,560
278.png,2000,1334,basket,469,603,1021,1240
280.png,1280,853,face,656,82,815,250
280.png,1280,853,face,865,144,1024,312
280.png,1280,853,player,360,202,626,853
280.png,1280,853,player,653,60,950,853
280.png,1280,853,player,863,68,1201,853
281.png,1200,1800,face,172,829,355,967
281.png,1200,1800,face,671,348,854,486
281.png,1200,1800,face,990,696,1173,834
281.png,1200,1800,player,126,779,757,1800
281.png,1200,1800,player,393,282,1024,1303
281.png,1200,1800,player,899,1160,1200,1800
281.png,1200,1800,player,897,1158,1198,1798
281.png,1200,1800,basket,907,131,1191,486
281.png,1200,1800,b_ball,353,58,618,263
282.png,600,450,face,358,130,440,199
282.png,600,450,referee,319,112,522,450
283.png,1024,665,b_ball,481,12,557,64
283.png,1024,665,player,378,116,531,621
283.png,1024,665,player,489,114,642,619
283.png,1024,665,player,745,292,855,665
283.png,1024,665,referee,624,307,716,659
284.png,1200,675,referee,470,1,878,675
284.png,1200,675,player,781,16,916,351
285.png,1300,1390,b_ball,311,207,999,707
286.png,1800,1800,face,757,181,1155,610
286.png,1800,1800,referee,387,60,1512,1786
287.png,900,575,basket,273,259,456,420
288.png,940,529,b_ball,209,137,435,389
288.png,940,529,basket,152,1,658,470
289.png,800,522,basket,376,223,419,275
290.png,1320,743,basket,404,141,518,236
290.png,1320,743,b_ball,574,42,664,128
290.png,1320,743,player,304,334,436,705
290.png,1320,743,player,413,221,558,718
290.png,1320,743,player,568,131,777,735
291.png,1333,2000,player,328,150,1046,1976
291.png,1333,2000,face,589,502,717,689
291.png,1333,2000,b_ball,411,202,665,497
292.png,1280,1280,face,87,138,272,367
292.png,1280,1280,face,717,118,902,347
292.png,1280,1280,player,1,55,453,1220
292.png,1280,1280,player,491,48,944,1213
292.png,1280,1280,b_ball,1002,504,1214,735
293.png,910,1370,face,176,24,341,246
293.png,910,1370,face,460,163,586,329
293.png,910,1370,referee,661,51,910,1117
293.png,910,1370,player,323,105,661,1121
293.png,910,1370,player,57,39,395,1055
294.png,1000,1080,b_ball,567,95,686,217
296.png,910,1274,b_ball,77,468,248,626
296.png,910,1274,face,265,278,416,415
296.png,910,1274,face,680,250,789,354
296.png,910,1274,player,159,168,562,1130
296.png,910,1274,player,617,184,910,1105
297.png,1280,720,face,657,191,810,325
297.png,1280,720,b_ball,708,301,909,513
